Date,Open,High,Low,Close,Volume
2022-01-03,101.93,103.62,101.92,102.09,2438940
2022-01-04,104.35,107.56,104.35,105.27,1837286
2022-01-05,104.15,106.45,103.11,104.8,2038985
2022-01-06,104.34,104.66,103.9,104.33,984819
2022-01-07,107.77,108.22,107.46,107.7,808725
2022-01-10,109.53,111.43,108.16,109.59,1323681
2022-01-11,109.3,109.99,107.37,108.6,748594
2022-01-12,106.53,109.97,106.53,107.62,1982241
2022-01-13,108.78,109.93,107.87,108.16,903254
2022-01-14,104.28,104.28,103.35,104.12,1546130
2022-01-17,97.58,98.48,97.13,97.53,2312944
2022-01-18,98.42,98.42,96.26,98.17,1169811
2022-01-19,96.45,97.07,95.91,96.42,2287785
2022-01-20,93.17,94.1,93.03,93.75,1987892
2022-01-21,96.77,96.88,96.13,96.56,1184163
2022-01-24,93.12,94.97,92.54,93.61,1191391
2022-01-25,92.52,93.41,92.1,92.61,1424011
2022-01-26,92.85,93.24,91.28,92.84,1722908
2022-01-27,90.77,91.17,90.28,90.74,1893301
2022-01-28,91.64,93.26,91.05,91.44,1713430
2022-01-31,88.57,90.04,87.4,88.81,609523
2022-02-01,91.97,93.17,91.97,92.18,1296337
2022-02-02,91.91,93.73,91.58,92.17,1975002
2022-02-03,89.73,90.59,89.59,90.26,852773
2022-02-04,91.55,92.44,90.31,91.77,1661176
2022-02-07,86.03,86.65,85.24,86.53,2296108
2022-02-08,84.25,84.44,84.25,84.28,1629682
2022-02-09,84.64,85.06,84.37,84.63,1381525
2022-02-10,85.49,86.63,85.49,85.9,2223571
2022-02-11,86.57,87.14,85.55,86.22,1317468
2022-02-14,82.52,83.43,81.7,83.06,698882
2022-02-15,82.19,82.54,81.11,81.89,1294367
2022-02-16,81.85,81.85,80.64,81.15,526003
2022-02-17,82.72,83.03,82.72,82.9,1666083
2022-02-18,83.29,84.65,82.43,83.49,1018846
2022-02-21,80.82,81.14,80.22,80.55,2099710
2022-02-22,79.53,79.53,79.15,79.48,1766956
2022-02-23,80.92,80.92,79.71,80.48,1551380
2022-02-24,82.49,82.49,82.16,82.17,735502
2022-02-25,83.98,84.18,82.83,83.73,2159483
2022-02-28,81.85,82.91,81.76,82.42,832566
2022-03-01,83.56,84.23,82.88,84.06,1278591
2022-03-02,83.07,83.64,82.55,83.28,1632809
2022-03-03,83.31,83.92,81.67,82.99,929880
2022-03-04,80.98,81.31,80.91,81.19,1492732
2022-03-07,82.35,84.52,81.37,82.83,1680461
2022-03-08,82.31,82.84,81.66,82.73,2400474
2022-03-09,84.93,84.93,83.68,84.42,1964449
2022-03-10,85.8,86.46,83.57,85.05,999336
2022-03-11,84.62,84.62,82.55,83.98,578853
2022-03-14,88.08,88.4,85.07,87.22,1138200
2022-03-15,89.39,90.1,88.63,90.01,741133
2022-03-16,85.57,85.85,85.23,85.43,630712
2022-03-17,86.66,87.47,85.98,86.87,1751782
2022-03-18,85.91,88.49,85.91,87.04,2240197
2022-03-21,83.81,84.85,81.65,83.35,1335533
2022-03-22,82.5,83.95,82.5,83.0,1209244
2022-03-23,83.14,83.91,83.14,83.61,535747
2022-03-24,86.6,87.23,85.15,86.14,936507
2022-03-25,85.06,87.19,85.05,85.27,2258236
2022-03-28,84.36,84.81,84.36,84.65,2059168
2022-03-29,85.67,85.67,84.08,85.22,2355504
2022-03-30,84.99,84.99,83.34,84.34,1892041
2022-03-31,85.02,85.84,85.02,85.23,1573948
2022-04-01,86.05,86.39,85.25,85.41,1031200
2022-04-04,84.95,86.07,84.87,85.36,940366
2022-04-05,84.7,84.85,83.11,84.71,1461173
2022-04-06,82.57,83.62,81.71,82.28,1631463
2022-04-07,82.94,83.63,82.01,82.78,2201163
2022-04-08,83.67,84.81,81.38,83.23,1860281
2022-04-11,80.6,81.18,79.98,80.59,512771
2022-04-12,80.06,80.53,78.98,79.93,1019607
2022-04-13,78.75,80.29,78.11,79.4,2022055
2022-04-14,78.34,79.55,77.66,78.15,2364056
2022-04-15,77.66,78.47,77.51,77.92,1101927
2022-04-18,81.58,82.41,81.58,81.9,1147220
2022-04-19,82.27,83.43,81.37,82.34,1047253
2022-04-20,81.41,83.28,81.12,82.24,2089619
2022-04-21,79.47,79.55,79.01,79.16,1809022
2022-04-22,79.07,80.02,78.99,79.13,2387231
2022-04-25,82.91,83.61,81.43,82.96,2436386
2022-04-26,83.69,84.17,82.85,83.47,2189566
2022-04-27,82.5,84.69,82.5,83.43,2341695
2022-04-28,80.88,82.85,80.72,81.52,750371
2022-04-29,83.41,84.22,83.05,83.42,628417
2022-05-02,84.83,85.26,83.64,84.54,579237
2022-05-03,87.68,87.68,86.6,86.96,784991
2022-05-04,84.66,85.49,83.54,84.57,519541
2022-05-05,85.42,86.17,85.42,85.59,566406
2022-05-06,89.48,89.69,89.36,89.44,1878929
2022-05-09,87.52,88.64,85.51,86.92,1178900
2022-05-10,86.17,86.24,84.12,86.07,2134595
2022-05-11,83.77,84.33,82.74,83.46,663259
2022-05-12,83.79,83.79,83.5,83.59,938427
2022-05-13,82.54,82.66,81.41,81.85,1817415
2022-05-16,83.9,83.9,83.5,83.73,1954338
2022-05-17,82.19,83.27,81.77,82.44,2475299
2022-05-18,81.9,82.35,81.64,81.93,1950515
2022-05-19,83.18,84.54,82.0,83.29,1053655
2022-05-20,81.48,82.75,80.94,81.28,1763120
2022-05-23,81.22,82.0,80.81,81.21,1218466
2022-05-24,82.28,82.28,80.89,81.53,1016266
2022-05-25,81.32,82.54,80.61,81.97,2439642
2022-05-26,82.83,83.6,82.83,83.28,1539547
2022-05-27,80.98,82.16,80.79,81.26,1734289
2022-05-30,80.0,80.94,80.0,80.49,614173
2022-05-31,80.36,82.3,80.36,80.92,1404398
2022-06-01,80.43,82.22,80.32,81.49,796686
2022-06-02,81.49,82.71,80.4,80.41,1778239
2022-06-03,80.78,81.78,79.69,80.8,1833728
2022-06-06,83.97,83.97,81.68,83.22,2389228
2022-06-07,84.71,84.95,82.88,84.03,1641219
2022-06-08,82.15,82.51,81.74,82.07,931350
2022-06-09,82.46,83.87,82.0,83.17,1815690
2022-06-10,81.35,81.7,79.19,81.58,2241506
2022-06-13,83.54,84.57,83.32,83.48,511517
2022-06-14,85.34,85.53,84.68,85.12,1277116
2022-06-15,85.47,86.18,85.33,85.85,646391
2022-06-16,87.22,88.46,86.2,87.29,1259571
2022-06-17,89.54,91.93,89.53,90.68,1182495
2022-06-20,87.72,87.72,86.81,87.37,986964
2022-06-21,85.62,86.12,83.71,85.98,702841
2022-06-22,85.58,86.24,85.44,85.86,2106051
2022-06-23,86.81,86.96,85.49,86.47,1045248
2022-06-24,87.2,87.2,86.72,86.96,862876
2022-06-27,91.71,92.9,89.96,91.1,2268412
2022-06-28,90.55,90.84,90.04,90.64,2179722
2022-06-29,96.46,96.65,95.1,95.72,1049612
2022-06-30,95.95,98.0,95.29,96.95,1747718
2022-07-01,95.69,96.23,95.06,95.32,2225594
